3708 !20 [   npimage  81]	open file C:\Dropbox\alma_scripts\pyalma\npyshop\sample.jpg
350574 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ti-KA.png
350677 !20 [ nphistory  37]	undo: ['load'] redo: []
350678 !20 [   npyshop 627]	(2643, 1714, 3)
350678 !20 [   npyshop 628]	3
350755 !20 [   npyshop 653]	ofset [0, 0]
352083 !20 [   npyshop 176]	open
352083 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Video 1.png
352700 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Video 1.png
352803 !20 [ nphistory  37]	undo: ['load'] redo: []
352804 !20 [   npyshop 627]	(2643, 1714, 3)
352804 !20 [   npyshop 628]	3
352964 !20 [   npyshop 653]	ofset [0, 0]
357235 !20 [   npyshop 176]	open
357235 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Zn-KA.png
357524 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Zn-KA.png
357632 !20 [ nphistory  37]	undo: ['load'] redo: []
357632 !20 [   npyshop 627]	(2643, 1714, 3)
357633 !20 [   npyshop 628]	3
357725 !20 [   npyshop 653]	ofset [0, 0]
358290 !20 [   npyshop 176]	open
358290 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Zr-KA.png
358551 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Zr-KA.png
358654 !20 [ nphistory  37]	undo: ['load'] redo: []
358655 !20 [   npyshop 627]	(2643, 1714, 3)
358656 !20 [   npyshop 628]	3
358772 !20 [   npyshop 653]	ofset [0, 0]
358779 !20 [   npyshop 176]	open
358779 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video Mosaic.png
363234 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video Mosaic.png
363676 !20 [ nphistory  37]	undo: ['load'] redo: []
363677 !20 [   npyshop 627]	(5733, 4073, 3)
363677 !20 [   npyshop 628]	7
363831 !20 [   npyshop 653]	ofset [0, 0]
363838 !20 [   npyshop 176]	open
363838 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ag-KA.png
364041 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ag-KA.png
364221 !20 [ nphistory  37]	undo: ['load'] redo: []
364222 !20 [   npyshop 627]	(2643, 1714, 3)
364222 !20 [   npyshop 628]	3
364304 !20 [   npyshop 653]	ofset [0, 0]
364312 !20 [   npyshop 176]	open
364312 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Al-K.png
364483 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Al-K.png
364585 !20 [ nphistory  37]	undo: ['load'] redo: []
364585 !20 [   npyshop 627]	(2643, 1714, 3)
364585 !20 [   npyshop 628]	3
364661 !20 [   npyshop 653]	ofset [0, 0]
364669 !20 [   npyshop 176]	open
364669 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_As-KA.png
365415 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_As-KA.png
365519 !20 [ nphistory  37]	undo: ['load'] redo: []
365519 !20 [   npyshop 627]	(2643, 1714, 3)
365519 !20 [   npyshop 628]	3
365677 !20 [   npyshop 653]	ofset [0, 0]
365685 !20 [   npyshop 176]	open
365685 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_As-LB.png
366052 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_As-LB.png
366155 !20 [ nphistory  37]	undo: ['load'] redo: []
366155 !20 [   npyshop 627]	(2643, 1714, 3)
366155 !20 [   npyshop 628]	3
